Question_codes,Question_codes(pt),Question_text,Question_text(pt),Question_conversion,Category,Subcategory,Group,Subgroup,Base_unit,Row
12 - Q12-C12 - Travellers’ diarrhoea(TD),X12...Q12.C12...Travellers’.diarrhoea(TD),Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Travellers’ diarrhoea(TD),Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Travellers’.diarrhoea(TD),Gastrointestinal_disorders_Travellers’_diarrhoea,Health,Gastrointestinal_disorders,Travellers’_diarrhoea,,,
12 - Q12-C12 - Ulcerative colitis,X12...Q12.C12...Ulcerative.colitis,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Ulcerative colitis,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Ulcerative.colitis,Gastrointestinal_disorders_Ulcerative_colitis,Health,Gastrointestinal_disorders,Ulcerative_colitis,,,
12 - Q12-C12 - Other,X12...Q12.C12...Other,Do you have any of the following gastrointestinal disorders ? (Multiple answers are possible) - Other,Do.you.have.any.of.the.following.gastrointestinal.disorders.?.(Multiple.answers.are.possible).-.Other,Gastrointestinal_disorders_Other,Health,Gastrointestinal_disorders,Other,,,
13 - Q16,X13...Q16,Do/did you have cancer? Please specify further. ,Do/did.you.have.cancer?.Please.specify.further. ,Cancer,Health,Cancer,,,,
14 - Q15,X14...Q15,Do you have any allergies or food intolerances? Please specify further.,Do.you.have.any.allergies.or.food.intolerances?.Please.specify.further.,Allergies_or_intolerances,Health,Allergies_or_intolerances,,,,
15 - Q14 - Not applicable,X15...Q14...Not.applicable,Have you ever undergone? (Multiple answers are possible)  - Not applicable,Have.you.ever undergone? (Multiple.answers.are.possible) .-.Not.applicable,Surgical_procedure_Not_applicable,Health,Surgical_procedure,Not_applicable,,,
15 - Q14 - Appendix removal (appendectomy)  ,X15...Q14...Appendix.removal.(appendectomy)..,Have you ever undergone? (Multiple answers are possible)  - Appendix removal (appendectomy)  ,Have.you.ever undergone? (Multiple.answers.are.possible) .-.Appendix.removal.(appendectomy)..,Surgical_procedure_Appendectomy,Health,Surgical_procedure,Appendectomy,,,
15 - Q14 - Cardiac catheterization,X15...Q14...Cardiac.catheterization,Have you ever undergone? (Multiple answers are possible)  - Cardiac catheterization,Have.you.ever undergone? (Multiple.answers.are.possible) .-.Cardiac.catheterization,Surgical_procedure_Cardiac_catheterization,Health,Surgical_procedure,Cardiac_catheterization,,,
15 - Q14 - Cardiac event (MI),X15...Q14...Cardiac.event.(MI),Have you ever undergone? (Multiple answers are possible)  - Cardiac event (MI),Have.you.ever undergone? (Multiple.answers.are.possible) .-.Cardiac.event.(MI),Surgical_procedure_Cardiac_event,Health,Surgical_procedure,Cardiac_event,,,
15 - Q14 - Colonoscopy,X15...Q14...Colonoscopy,Have you ever undergone? (Multiple answers are possible)  - Colonoscopy,Have.you.ever undergone? (Multiple.answers.are.possible) .-.Colonoscopy,Surgical_procedure_Colonoscopy,Health,Surgical_procedure,Colonoscopy,,,
15 - Q14 - Ileostomy,X15...Q14...Ileostomy,Have you ever undergone? (Multiple answers are possible)  - Ileostomy,Have.you.ever undergone? (Multiple.answers.are.possible) .-.Ileostomy,Surgical_procedure_Ileostomy,Health,Surgical_procedure,Ileostomy,,,
15 - Q14 - Other,X15...Q14...Other,Have you ever undergone? (Multiple answers are possible)  - Other,Have.you.ever undergone? (Multiple.answers.are.possible) .-.Other,Surgical_procedure_Other,Health,Surgical_procedure,Other,,,
16 - Q18,X16...Q18,"Do you smoke ? If so, please answer the following questions.","Do.you.smoke.?.If.so,.please.answer.the.following.questions.",Smoking_question,Health,Smoking,,,,
17 - Q73 - Bidis and clove cigarettes,X17...Q73...Bidis.and.clove.cigarettes,What do you smoke? (Multiple answers are possible) - Bidis and clove cigarettes,What.do.you.smoke?.(Multiple.answers.are.possible).-.Bidis.and.clove.cigarettes,Smoking_Bidis_and_clove_cigarettes,Health,Smoking,Bidis_and_clove_cigarettes,,,
17 - Q73 - Cigarettes,X17...Q73...Cigarettes,What do you smoke? (Multiple answers are possible) - Cigarettes,What.do.you.smoke?.(Multiple.answers.are.possible).-.Cigarettes,Smoking_Cigarettes,Health,Smoking,Cigarettes,,,
17 - Q73 - Cigars,X17...Q73...Cigars,What do you smoke? (Multiple answers are possible) - Cigars,What.do.you.smoke?.(Multiple.answers.are.possible).-.Cigars,Smoking_Cigars,Health,Smoking,Cigars,,,
17 - Q73 - E-cigarettes,X17...Q73...E.cigarettes,What do you smoke? (Multiple answers are possible) - E-cigarettes,What.do.you.smoke?.(Multiple.answers.are.possible).-.E-cigarettes,Smoking_E_cigarettes,Health,Smoking,E_cigarettes,,,
17 - Q73 - Hookahs (waterpipe),X17...Q73...Hookahs.(waterpipe),What do you smoke? (Multiple answers are possible) - Hookahs (waterpipe),What.do.you.smoke?.(Multiple.answers.are.possible).-.Hookahs.(waterpipe),Smoking_Hookahs,Health,Smoking,Hookahs,,,
17 - Q73 - Menthol cigarettes,X17...Q73...Menthol.cigarettes,What do you smoke? (Multiple answers are possible) - Menthol cigarettes,What.do.you.smoke?.(Multiple.answers.are.possible).-.Menthol.cigarettes,Smoking_Menthol_cigarettes,Health,Smoking,Menthol_cigarettes,,,
17 - Q73 - Pipes,X17...Q73...Pipes,What do you smoke? (Multiple answers are possible) - Pipes,What.do.you.smoke?.(Multiple.answers.are.possible).-.Pipes,Smoking_Pipes,Health,Smoking,Pipes,,,
17 - Q73 - Other,X17...Q73...Other,What do you smoke? (Multiple answers are possible) - Other,What.do.you.smoke?.(Multiple.answers.are.possible).-.Other,Smoking_Other,Health,Smoking,Other,,,
18 - Q17,X18...Q17,"How frequently do you smoke? (e.g. Daily, weekly, monthly)","How.frequently.do.you.smoke?.(e.g..Daily,.weekly,.monthly)",Smoking_frequency,Health,Smoking,Frequency,,,
18 - Q17,X18...Q17,Estimate how many units you smoke per unit of time (e.g. 5 cigarettes per day).,Estimate.how.many.units you.smoke.per.unit.of.time.(e.g. 5.cigarettes.per.day).,Smoking_frequency_unit_of_time,Health,Smoking,Frequency_unit_of_time,,,
18 - Q17,X18...Q17,How long have you been smoking?,How.long.have.you.been.smoking?,Smoking_total_time,Health,Smoking,Total_time,,,
19 - Q19,X19...Q19,How often do you usually defecate?,How.often.do.you.usually.defecate?,Defecation_frequency,Health,Defecation_frequency,,,,
19 - Q19 - Other,X19...Q19...Other,How often do you usually defecate? - Other,How.often.do.you.usually.defecate?.-.Other,Defecation_frequency_Other,Health,Defecation_frequency,Other,,,
20 - Q20,X20...Q20,"Do you defecate at regular hours? (Regular means, for example, every morning after breakfast)","Do.you.defecate.at regular hours? (Regular.means,.for.example,.every.morning.after.breakfast)",Defecation_regular_hours,Health,Defecation_regular_hours,,,,
21 - Q21,X21...Q21,"Can you indicate at which time of the day you defecate regularly? (e.g. Every morning when I wake up, at 1 pm,...)","Can.you.indicate.at.which.time.of.the.day.you.defecate.regularly?.(e.g..Every.morning.when.I.wake.up,.at.1.pm,...)",Defecation_regular_hours_Time,Health,Defecation_regular,Time,,,
22 - Q71 - Type 1,X22...Q71...Type.1,Indicate the consistancy of your faeces according to the scale below (Bristal stool chart)? (Multiple answers are possible) - Type 1,Indicate.the.consistancy.of.your.faeces.according.to.the.scale.below.(Bristal.stool.chart)?.(Multiple.answers.are.possible).-.Type.1,Bristol_stool_chart_Type_1,Health,Bristol_stool_chart,Type_1,,,
22 - Q71 - Type 2,X22...Q71...Type.2,Indicate the consistancy of your faeces according to the scale below (Bristal stool chart)? (Multiple answers are possible) - Type 2,Indicate.the.consistancy.of.your.faeces.according.to.the.scale.below.(Bristal.stool.chart)?.(Multiple.answers.are.possible).-.Type.2,Bristol_stool_chart_Type_2,Health,Bristol_stool_chart,Type_2,,,
22 - Q71 - Type 3,X22...Q71...Type.3,Indicate the consistancy of your faeces according to the scale below (Bristal stool chart)? (Multiple answers are possible) - Type 3,Indicate.the.consistancy.of.your.faeces.according.to.the.scale.below.(Bristal.stool.chart)?.(Multiple.answers.are.possible).-.Type.3,Bristol_stool_chart_Type_3,Health,Bristol_stool_chart,Type_3,,,
22 - Q71 - Type 4,X22...Q71...Type.4,Indicate the consistancy of your faeces according to the scale below (Bristal stool chart)? (Multiple answers are possible) - Type 4,Indicate.the.consistancy.of.your.faeces.according.to.the.scale.below.(Bristal.stool.chart)?.(Multiple.answers.are.possible).-.Type.4,Bristol_stool_chart_Type_4,Health,Bristol_stool_chart,Type_4,,,
22 - Q71 - Type 5,X22...Q71...Type.5,Indicate the consistancy of your faeces according to the scale below (Bristal stool chart)? (Multiple answers are possible) - Type 5,Indicate.the.consistancy.of.your.faeces.according.to.the.scale.below.(Bristal.stool.chart)?.(Multiple.answers.are.possible).-.Type.5,Bristol_stool_chart_Type_5,Health,Bristol_stool_chart,Type_5,,,
22 - Q71 - Type 6,X22...Q71...Type.6,Indicate the consistancy of your faeces according to the scale below (Bristal stool chart)? (Multiple answers are possible) - Type 6,Indicate.the.consistancy.of.your.faeces.according.to.the.scale.below.(Bristal.stool.chart)?.(Multiple.answers.are.possible).-.Type.6,Bristol_stool_chart_Type_6,Health,Bristol_stool_chart,Type_6,,,
22 - Q71 - Type 7,X22...Q71...Type.7,Indicate the consistancy of your faeces according to the scale below (Bristal stool chart)? (Multiple answers are possible) - Type 7,Indicate.the.consistancy.of.your.faeces.according.to.the.scale.below.(Bristal.stool.chart)?.(Multiple.answers.are.possible).-.Type.7,Bristol_stool_chart_Type_7,Health,Bristol_stool_chart,Type_7,,,
22 - Q71 - Variable stool consistency,X22...Q71...Variable.stool.consistency,Indicate the consistancy of your faeces according to the scale below (Bristal stool chart)? (Multiple answers are possible) - Variable stool consistency,Indicate.the.consistancy.of.your.faeces.according.to.the.scale.below.(Bristal.stool.chart)?.(Multiple.answers.are.possible).-.Variable.stool.consistency,Bristol_stool_chart_Variable_stool_consistency,Health,Bristol_stool_chart,Variable_stool_consistency,,,
23 - Q22,X23...Q22,How do you spend most of your time? ,How.do.you.spend.most.of.your.time? ,Time_spenditure,Health,Time_spenditure,,,,
23 - Q22 - Other,X23...Q22...Other,How do you spend most of your time?  - Other,How.do.you.spend.most.of.your.time? .-.Other,Time_spenditure_Other,Health,Time_spenditure,Other,,,
24 - Q23,X24...Q23,How often do you perform sport or exercise? ,How.often.do.you perform.sport.or exercise? ,Sport_exercise_Frequency,Health,Sport_exercise,Frequency,,,
25 - Q24,X25...Q24,What kinds of exercise do you do and how often? (e.g. Cycling: 3 times a week/Running: once a day),What.kinds.of.exercise.do.you.do.and.how.often?.(e.g..Cycling:.3.times.a.week/Running:.once.a.day),Sport_exercise_Types,Health,Sport_exercise,Types,,,
26 - Q25,X26...Q25,What is the average duration of one training session? (e.g. Cycling: 90 minutes/Running: 20 minutes),What.is.the.average.duration.of.one.training.session?.(e.g..Cycling:.90.minutes/Running:.20.minutes),Sport_exercise_Duration,Health,Sport_exercise,Duration,,,
27 - Q26,X27...Q26,How many hours of sleep do you get at night? (e.g. 7h),How.many.hours.of.sleep.do.you.get.at.night?.(e.g..7h),Sleep_length,Health,Sleep_length,,,,
28 - Q27,X28...Q27,"Do you take naps during the day? If so, how long and when? (e.g. Yes, 20 minutes at 1 pm)","Do.you.take.naps.during.the.day?.If.so,.how.long.and.when?.(e.g..Yes,.20.minutes.at.1.pm)",Sleep_naps,Health,Sleep_naps,,,,
29 - Q28,X29...Q28,How would you define your sleeping quality?,How.would.you.define.your.sleeping.quality?,Sleep_Quality,Health,Sleep_quality,,,,
30 - Q29,X30...Q29,Are you following a specific diet?,Are.you.following.a.specific.diet?,Diet,Diet,Diet,,,,
30 - Q29 - Other,X30...Q29...Other,Are you following a specific diet? - Other,Are.you.following.a.specific.diet?.-.Other,Diet_Other,Diet,Diet,,,,
31 - Q68,X31...Q68,Do you have recurring eating routines (e.g. Do you consume the same meal for breakfast or for lunch or for snack or for dinner every day),Do.you.have.recurring.eating.routines.(e.g..Do.you.consume.the.same.meal.for.breakfast.or.for.lunch.or.for.snack.or.for.dinner.every.day),Diet_Recurring_eating_routines,Diet,Recurring_eating_routines,,,,
32 - Q67,X32...Q67,What does your typical breakfast/snack/lunch/dinner look like? (e.g. Breakfast: Cereal with full cream milk/Lunch: Bread with cheese/Dinner: Pasta),What.does.your.typical.breakfast/snack/lunch/dinner.look.like?.(e.g..Breakfast:.Cereal.with.full.cream.milk/Lunch:.Bread.with.cheese/Dinner:.Pasta),Diet_Typical_consumables,Diet,Typical_consumables,,,,
33 - Q74 - Time of the day,X33...Q74...Time.of.the.day,"At what time do you eat breakfast, lunch, snacks, dinner? Only fill in numeric values (e.g. Breakfast: 07:00) Breakfast - Time of the day","At.what.time.do.you.eat.breakfast,.lunch,.snacks,.dinner?.Only.fill.in.numeric.values.(e.g..Breakfast:.07:00).Breakfast.-.Time.of.the.day",Diet_Timing_Breakfast,Diet,Timing,Breakfast,,,
33 - Q74 - Time of the day,X33...Q74...Time.of.the.day,"At what time do you eat breakfast, lunch, snacks, dinner? Only fill in numeric values (e.g. Breakfast: 07:00) Lunch - Time of the day","At.what.time.do.you.eat.breakfast,.lunch,.snacks,.dinner?.Only.fill.in.numeric.values.(e.g..Breakfast:.07:00).Lunch.-.Time.of.the.day",Diet_Timing_Lunch,Diet,Timing,Lunch,,,
33 - Q74 - Time of the day,X33...Q74...Time.of.the.day,"At what time do you eat breakfast, lunch, snacks, dinner? Only fill in numeric values (e.g. Breakfast: 07:00) Dinner - Time of the day","At.what.time.do.you.eat.breakfast,.lunch,.snacks,.dinner?.Only.fill.in.numeric.values.(e.g..Breakfast:.07:00).Dinner.-.Time.of.the.day",Diet_Timing_Dinner,Diet,Timing,Dinner,,,
33 - Q74 - Time of the day,X33...Q74...Time.of.the.day,"At what time do you eat breakfast, lunch, snacks, dinner? Only fill in numeric values (e.g. Breakfast: 07:00) Snack 1 - Time of the day","At.what.time.do.you.eat.breakfast,.lunch,.snacks,.dinner?.Only.fill.in.numeric.values.(e.g..Breakfast:.07:00).Snack.1.-.Time.of.the.day",Diet_Timing_Snack_1,Diet,Timing,Snack_1,,,
33 - Q74 - Time of the day,X33...Q74...Time.of.the.day,"At what time do you eat breakfast, lunch, snacks, dinner? Only fill in numeric values (e.g. Breakfast: 07:00) Snack 2 - Time of the day","At.what.time.do.you.eat.breakfast,.lunch,.snacks,.dinner?.Only.fill.in.numeric.values.(e.g..Breakfast:.07:00).Snack.2.-.Time.of.the.day",Diet_Timing_Snack_2,Diet,Timing,Snack_2,,,
33 - Q74 - Time of the day,X33...Q74...Time.of.the.day,"At what time do you eat breakfast, lunch, snacks, dinner? Only fill in numeric values (e.g. Breakfast: 07:00) Snack 3 - Time of the day","At.what.time.do.you.eat.breakfast,.lunch,.snacks,.dinner?.Only.fill.in.numeric.values.(e.g..Breakfast:.07:00).Snack.3.-.Time.of.the.day",Diet_Timing_Snack_3,Diet,Timing,Snack_3,,,
33 - Q74 - Time of the day,X33...Q74...Time.of.the.day,"At what time do you eat breakfast, lunch, snacks, dinner? Only fill in numeric values (e.g. Breakfast: 07:00) Snack 4 - Time of the day","At.what.time.do.you.eat.breakfast,.lunch,.snacks,.dinner?.Only.fill.in.numeric.values.(e.g..Breakfast:.07:00).Snack.4.-.Time.of.the.day",Diet_Timing_Snack_4,Diet,Timing,Snack_4,,,
